Feat,Indi,Pais,CCod,ICod,Year,Value
Población entre 15 y 64 años de edad (% del total),Education,Argentina,ARG,SP.POP.1564.TO.ZS,1990,60.29159513678229
Población entre 0 y 14 años de edad (% del total),Education,Argentina,ARG,SP.POP.0014.TO.ZS,1990,30.7860125791223
"Desempleo, varones (% de la población activa masculina) (estimación modelado OIT)",Education,Argentina,ARG,SL.UEM.TOTL.MA.ZS,1990,5.236000061035161
"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",Education,Argentina,ARG,SL.UEM.TOTL.FE.ZS,1990,5.7470002174377415
"Población activa, total",Education,Argentina,ARG,SL.TLF.TOTL.IN,1990,13580769.0
"Educación de nivel secundario, alumnos en programas de educación general",Education,Argentina,ARG,SE.SEC.ENRL.GC,1990,1185627.0
"Educación de nivel secundario, alumnos",Education,Argentina,ARG,SE.SEC.ENRL,1990,2160410.0
"Inscripción escolar, nivel primario, varones (% bruto)",Education,Argentina,ARG,SE.PRM.ENRR.MA,1990,107.7932
"Inscripción escolar, nivel primario, mujeres (% bruto)",Education,Argentina,ARG,SE.PRM.ENRR.FE,1990,106.01436000000001
"Inscripción escolar, nivel primario (% bruto)",Education,Argentina,ARG,SE.PRM.ENRR,1990,106.91243
"Educación de nivel primario, alumnos (% de mujeres)",Education,Argentina,ARG,SE.PRM.ENRL.FE.ZS,1990,49.09786
"Educación de nivel primario, alumnos",Education,Argentina,ARG,SE.PRM.ENRL,1990,4965396.0
"Tasa de finalización de la educación de nivel primario, total (% del grupo etario correspondiente)",Education,Argentina,ARG,SE.PRM.CMPT.ZS,1990,94.62659000000001
"Inscripción escolar, nivel preprimario (% bruto)",Education,Argentina,ARG,SE.PRE.ENRR,1990,52.60367333333333
Proporción de inscripciones de mujeres con respecto a varones en la educación primaria (%),Education,Argentina,ARG,SE.ENR.PRIM.FM.ZS,1990,0.9835
"Supervivencia hasta los 65 años, varones (% de la cohorte)",Gender,Argentina,ARG,SP.DYN.TO65.MA.ZS,1990,67.9911852
"Supervivencia hasta los 65 años, mujeres (% de la cohorte)",Gender,Argentina,ARG,SP.DYN.TO65.FE.ZS,1990,81.9492136
"Tasa de fertilidad, total (nacimientos por cada mujer)",Gender,Argentina,ARG,SP.DYN.TFRT.IN,1990,2.997
"Esperanza de vida al nacer, varones (años)",Gender,Argentina,ARG,SP.DYN.LE00.MA.IN,1990,68.138
"Esperanza de vida al nacer, mujeres (años)",Gender,Argentina,ARG,SP.DYN.LE00.FE.IN,1990,75.119
"Tasa de mortalidad, adultos, varones (por cada 1.000 varones adultos)",Gender,Argentina,ARG,SP.DYN.AMRT.MA,1990,204.577
"Tasa de mortalidad, adultos, mujeres (por cada 1.000 mujeres adultas)",Gender,Argentina,ARG,SP.DYN.AMRT.FE,1990,108.095
Tasa de fertilidad en adolescentes (nacimientos por cada 1.000 mujeres entre 15 y 19 años de edad),Gender,Argentina,ARG,SP.ADO.TFRT,1990,73.493
"Población activa, mujeres (% de la población activa total)",Gender,Argentina,ARG,SL.TLF.TOTL.FE.ZS,1990,39.3851997629884
