Indi,ICod,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,sum_NA
Education,SE.COM.DURS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
Education,SE.ENR.PRIM.FM.ZS,0.4166666666666667,0.16666666666666666,0.25,0.08333333333333333,0.16666666666666666,0.25,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.25,0.4166666666666667,0.4166666666666667,0.25,0.16666666666666666,0.16666666666666666,0.25,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.16666666666666666,0.25,0.16666666666666666,0.5,0.4166666666666667,0.25,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5833333333333334,9.166666666666666
Education,SE.ENR.PRSC.FM.ZS,0.5,0.16666666666666666,0.25,0.25,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.75,0.5,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.5,0.5833333333333334,0.75,0.5,0.6666666666666666,0.5,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.25,0.25,0.08333333333333333,0.25,0.16666666666666666,0.0,0.16666666666666666,0.0,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.25,0.25,0.25,0.3333333333333333,0.25,0.6666666666666666,17.666666666666668
Education,SE.ENR.SECO.FM.ZS,0.5,0.08333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.5,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.5,0.5833333333333334,0.75,0.5,0.6666666666666666,0.5,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.25,0.25,0.08333333333333333,0.25,0.16666666666666666,0.0,0.16666666666666666,0.0,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.25,0.25,0.25,0.3333333333333333,0.25,0.6666666666666666,17.083333333333332
Education,SE.ENR.TERT.FM.ZS,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.75,0.5,0.4166666666666667,0.75,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.5,0.5833333333333334,0.5833333333333334,0.75,0.8333333333333334,0.9166666666666666,1.0,0.8333333333333334,0.8333333333333334,0.75,0.6666666666666666,0.75,0.75,0.5,0.5,0.5,0.25,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.5,0.5,0.3333333333333333,0.5,0.5833333333333334,0.5833333333333334,0.5,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.9166666666666666,29.083333333333336
Education,SE.PRE.DURS,1.0,1.0,0.9166666666666666,1.0,1.0,1.0,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.833333333333336
Education,SE.PRE.ENRL.TC.ZS,0.6666666666666666,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.4166666666666667,0.25,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.16666666666666666,0.4166666666666667,0.16666666666666666,0.3333333333333333,0.5833333333333334,0.3333333333333333,0.25,0.25,0.16666666666666666,0.4166666666666667,0.3333333333333333,0.5,0.5833333333333334,0.4166666666666667,0.5,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.5833333333333334,0.5,0.5,0.4166666666666667,0.5833333333333334,0.5833333333333334,0.5,0.5,0.5,0.6666666666666666,19.083333333333332
Education,SE.PRE.ENRR,0.5833333333333334,0.3333333333333333,0.3333333333333333,0.25,0.25,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.25,0.25,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.4166666666666667,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.25,0.16666666666666666,0.3333333333333333,0.25,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.25,0.25,0.08333333333333333,0.16666666666666666,0.0,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.25,0.25,0.25,0.16666666666666666,0.25,0.6666666666666666,9.416666666666666
Education,SE.PRE.ENRR.FE,0.6666666666666666,0.3333333333333333,0.5,0.4166666666666667,0.5,0.5833333333333334,0.5,0.4166666666666667,0.5,0.4166666666666667,0.6666666666666666,0.5833333333333334,0.5,0.6666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.5833333333333334,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.25,0.4166666666666667,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.25,0.25,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.25,0.25,0.25,0.16666666666666666,0.25,0.6666666666666666,15.5
Education,SE.PRE.ENRR.MA,0.6666666666666666,0.3333333333333333,0.5,0.4166666666666667,0.5,0.5833333333333334,0.5,0.4166666666666667,0.5,0.4166666666666667,0.6666666666666666,0.5833333333333334,0.5,0.6666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.5833333333333334,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.25,0.4166666666666667,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.25,0.25,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.25,0.25,0.25,0.16666666666666666,0.25,0.6666666666666666,15.5
