Feat,Indi,Pais,CCod,ICod,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Población entre 15 y 64 años de edad (% del total),Education,Argentina,ARG,SP.POP.1564.TO.ZS,63.6156663153768,63.5278272347962,63.427854627243796,63.3133714961855,63.1787180907681,63.0181518621363,62.7209140670698,62.388615180644294,62.0455113950321,61.730744337417796,61.466254868706294,61.1206197643031,60.912520661897496,60.7854262553812,60.6659433724742,60.5253247760917,60.484757726677714,60.3710571450515,60.2505722561238,60.21321175281901,60.29159513678229,60.288866047945795,60.40590258211571,60.59944873303471,60.80208537290361,60.9831926282661,61.13575541132261,61.2915389945809,61.44964075686689,61.6205765956701,61.809168868567895,62.0204389717985,62.213433882806214,62.402148631685,62.60526740485,62.8286101656879,62.9922902789365,63.19978722061211,63.423788727390296,63.621334578043395,63.7690168895782,63.8807226437241,63.9471288794812,63.9826922106179,64.0154698523561,64.0600197569769,64.0605666116429,64.0835225051061,64.1212772887989,
Población entre 0 y 14 años de edad (% del total),Education,Argentina,ARG,SP.POP.0014.TO.ZS,29.438847772462307,29.3804904383884,29.3473964306829,29.339781911887197,29.3613790300657,29.416801568218894,29.5813187298943,29.7939327862703,30.0288492163662,30.24454556428089,30.4162474986134,30.681590055089305,30.809384470976898,30.857174824440694,30.901551136824303,30.971679206430398,30.905310029354702,30.9331921089429,30.9797713842667,30.9431738713046,30.7860125791223,30.6791136370507,30.4523478939004,30.1533515742707,29.8576546612426,29.5986295002006,29.356889307251897,29.125647280963502,28.905751941321,28.686627534899998,28.4621942026895,28.1979373559985,27.9713529220738,27.7595637540017,27.5332373202391,27.2800113727608,27.065701247532505,26.804888432565107,26.522331747178697,26.2589696144445,26.0359584535822,25.822269817645,25.6518565976795,25.5099662219408,25.368129485794807,25.211164530599106,25.0794558115824,24.926770381504106,24.7609338351238,
"Desempleo, total (% de la población activa total) (estimación modelado OIT)",Education,Argentina,ARG,SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,5.44000005722046,6.360000133514402,10.1000003814697,11.7600002288818,18.7999992370605,17.1100006103516,14.8199996948242,12.6499996185303,14.0500001907349,15.0,17.3199996948242,19.590000152587894,15.359999656677198,13.522000312805199,11.5059995651245,10.0769996643066,8.47000026702881,7.83699989318848,8.64500045776367,7.71400022506714,7.17999982833862,7.21700000762939,7.099999904632571,7.26800012588501,7.75,7.9770002365112305,8.34700012207031,9.22000026702881,9.788999557495119
"Desempleo, varones (% de la población activa masculina) (estimación modelado OIT)",Education,Argentina,ARG,SL.UEM.TOTL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,5.236000061035161,6.1230001449585,8.40499973297119,10.241999626159698,16.4230003356934,15.633000373840304,12.786999702453599,11.6429996490479,13.251000404357901,14.020000457763699,17.4120006561279,20.1299991607666,13.7849998474121,11.8680000305176,10.027000427246099,8.39700031280518,6.98199987411499,6.5019998550415,7.77600002288818,6.66699981689453,6.2480001449585,6.080999851226809,6.119999885559079,6.485000133514402,6.96500015258789,7.150000095367429,7.52699995040894,8.22599983215332,8.9350004196167
"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",Education,Argentina,ARG,SL.UEM.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,5.7470002174377415,6.71099996566772,12.5579996109009,13.927000045776401,22.195999145507802,19.1900005340576,17.631000518798803,14.0290002822876,15.147000312805199,16.3449993133545,17.1919994354248,18.8299999237061,17.548999786377,15.788999557495101,13.5609998703003,12.3920001983643,10.543999671936001,9.72000026702881,9.85499954223633,9.19600009918213,8.49600028991699,8.81099987030029,8.48400020599365,8.38300037384033,8.85099983215332,9.11800003051758,9.46399974822998,10.5380001068115,10.921999931335401
"Población activa, total",Education,Argentina,ARG,SL.TLF.TOTL.IN,,,,,,,,,,,,,,,,,,,,,13580769.0,13858142.0,14149418.0,14466817.0,14760835.0,14931890.0,15233042.0,15583456.0,15883645.0,16082632.0,16324711.0,16519968.0,16592778.0,16978859.0,17375102.0,17521844.0,17833649.0,17855169.0,17877897.0,18229085.0,18222853.0,18557537.0,18770957.0,18931350.0,19009264.0,19360544.0,19696452.0,20035267.0,20551682.0,20755018.0
"Población activa, mujeres (% de la población activa total)",Education,Argentina,ARG,SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,39.3851997629884,39.868670706361605,40.330351396785396,40.811693408439496,41.1869179487475,41.1760199144248,41.52410267102261,41.9648953351554,42.214900924819204,42.1300692573206,42.1350797573078,41.99141305842721,41.5100171894061,41.846345505313394,42.186232921107504,41.8453388809991,42.0720291175407,41.7815367639477,41.4977052390446,41.8192191215302,41.383958922348796,41.4441797960581,41.599605177296,41.4418411787855,41.2453685739753,41.609166560609005,41.9785045550336,42.3421908976806,43.003545889820614,42.961909259727
"Gasto público en educación, total (% del PIB)",Education,Argentina,ARG,SE.XPD.TOTL.GD.ZS,1.45809,,1.9362,1.78052,1.92352,1.8436,1.16564,1.71984,1.93555,2.40028,2.60715,,1.59787,1.6175,2.56972,1.36186,1.26155,1.2823,,1.0461200000000002,1.06738,,,,,,3.73198,,4.03987,4.52168,4.58031,4.83374,4.01734,3.53505,3.48652,3.86001,4.12821,4.4626,4.84441,5.53105,5.01971,5.29063,5.34583,5.43661,5.36144,5.77611,5.54549,5.46223,,
"Gasto público en educación, total (% del gasto del gobierno)",Education,Argentina,ARG,SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,15.39877,,15.62126,15.87754,16.22615,16.35596,16.44221,14.35472,15.1393,15.80317,15.50984,15.10157,15.74784,16.020670000000006,15.04797,15.15856,14.51826,14.45793,13.79933,13.96331,13.35554,13.26392,,
Gasto en educación de nivel terciario (% del gasto público en educación),Education,Argentina,ARG,SE.XPD.TERT.ZS,24.0,,19.33086,23.87173,19.13876,30.72407,27.49602,20.04424,21.70391,22.8224,21.78625,,15.92735,18.63354,18.44237,34.95818,33.23076,48.66027,,47.7402,47.34859,,,,,,20.89081,,21.15821,17.14144,18.13501,17.13208,17.49278,16.187170000000002,17.204810000000002,16.24196,17.75414,17.7498,17.66036,18.85052,19.85806,19.43274,19.94066,20.23468,20.40408,20.5357,20.36758,22.08034,,
