"Country Name" "Country Code" "Indicator Name" "Indicator Code" 1990.0 1991.0 1992.0 1993.0 1994.0 1995.0 1996.0 1997.0 1998.0 1999.0 2000.0 2001.0 2002.0 2003.0 2004.0 2005.0 2006.0 2007.0 2008.0 2009.0 2010.0 2011.0 2012.0 2013.0 2014.0 2015.0 2016.0 2017.0 2018.0
Brasil BRA "Población, hombres (% del total)" SP.POP.TOTL.MA.ZS 49.715552800954505 49.7000161696817 49.684176745891506 49.667868641580704 49.6508599298349 49.633016968676 49.61437218582971 49.5950727450475 49.57524726838321 49.5550389390763 49.5345649509839 49.5138686809674 49.492980361548206 49.471951492191494 49.45084786932961 49.429711227233 49.4085560102448 49.387413467632705 49.3663944663084 49.3456463099379 49.3252644423546 49.3053248165663 49.28579741050421 49.2665384786192 49.247340786920994 49.228077506781794 49.2087156488406 49.1893405705255 49.1700832370106
Brasil BRA "Población, hombres" SP.POP.TOTL.MA.IN 74077776.0 75369086.0 76642503.0 77903594.0 79159715.0 80415362.0 81672544.0 82927445.0 84171458.0 85392586.0 86581634.0 87736621.0 88858470.0 89944582.0 90992765.0 92002090.0 92970773.0 93900508.0 94798466.0 95674550.0 96536268.0 97385183.0 98220333.0 99043431.0 99855748.0 100657521.0 101450193.0 102232091.0 102996245.0
Brasil BRA "Población, mujeres (% del total)" SP.POP.TOTL.FE.ZS 50.284447199045495 50.2999838303183 50.315823254108494 50.332131358419296 50.3491400701651 50.366983031324 50.38562781417029 50.4049272549525 50.42475273161679 50.4449610609237 50.4654350490161 50.4861313190326 50.507019638451794 50.528048507808506 50.54915213067039 50.57028877276711 50.5914439897552 50.612586532367295 50.6336055336916 50.6543536900621 50.6747355576454 50.6946751834337 50.71420258949579 50.7334615213808 50.752659213079006 50.771922493218206 50.7912843511594 50.8106594294745 50.8299167629894
Brasil BRA "Población, mujeres" SP.POP.TOTL.FE.IN 74925447.0 76278925.0 77616877.0 78945484.0 80273001.0 81604534.0 82942144.0 84281595.0 85613792.0 86926089.0 88208706.0 89459433.0 90679050.0 91864664.0 93013716.0 94125013.0 95196583.0 96229935.0 97231896.0 98211958.0 99177367.0 100129351.0 101066963.0 101992472.0 102907987.0 103814248.0 104712865.0 105601740.0 106473088.0
Brasil BRA "Población, total" SP.POP.TOTL 149003223.0 151648011.0 154259380.0 156849078.0 159432716.0 162019896.0 164614688.0 167209040.0 169785250.0 172318675.0 174790340.0 177196054.0 179537520.0 181809246.0 184006481.0 186127103.0 188167356.0 190130443.0 192030362.0 193886508.0 195713635.0 197514534.0 199287296.0 201035903.0 202763735.0 204471769.0 206163058.0 207833831.0 209469333.0
Brasil BRA "Crecimiento de la población (% anual)" SP.POP.GROW 1.8115181788066201 1.75941817375769 1.70733529878176 1.6648585082411298 1.63379335720083 1.6097152542264501 1.5888376263628603 1.5637247404974801 1.52896370271808 1.48111209937399 1.42416743408748 1.36695707635304 1.31274418552691 1.25738273806831 1.2012941278805 1.1458809983872198 1.0901968535216 1.0378620369676 0.994311623883366 0.96194826263909 0.937956737505973 0.9159626563180591 0.893531057922595 0.8736031912414249 0.855792022891126 0.8388482825930921 0.823748231993439 0.807147162261819 0.783847578971981
Brasil BRA "Tasa de inactividad por edades, personas menores de 15 años (% de la población en edad de trabajar)" SP.POP.DPND.YG 58.0371625625949 56.9321332953619 55.8886936796992 54.830051214324705 53.6746951459564 52.4114963393073 51.2236026153962 49.9615804868843 48.668402234552204 47.4033987510735 46.191863741957 45.1761258155325 44.1256681856116 43.0756122788075 42.0535694546501 41.063443923041895 40.0404173451444 39.0810322804396 38.1576877837049 37.237466072783604 36.314913222796996 35.4163446155084 34.5571822180043 33.7339992328028 32.9547296323588 32.229507363467604 31.658156955891 31.105477099527302 30.5895132620158
Brasil BRA "Tasa de inactividad por edades, personas de 65 años y más (% de la población en edad de trabajar)" SP.POP.DPND.OL 7.03497644543538 7.165474172342599 7.299025888324059 7.42591311360826 7.53337143763467 7.61749656318207 7.7264074416882895 7.81256557841102 7.8914524733954 7.98329060842824 8.09903286568897 8.26602987100371 8.45224926786403 8.6476421556862 8.83664901816241 9.01279878471587 9.20103409749911 9.37862100394754 9.557758265139778 9.75432225353076 9.978387175284391 10.2410196085222 10.5223674292785 10.8262191847083 11.156968181127 11.518598388301498 11.919355929853499 12.344583649414501 12.7938665313678
Brasil BRA "Tasa de inactividad por edades (% de la población en edad de trabajar)" SP.POP.DPND 65.0721390080303 64.09760746770449 63.187719568023205 62.2559643279329 61.2080665835911 60.02899290248939 58.950010057084505 57.7741460652953 56.5598547079476 55.3866893595017 54.290896607646 53.44215568653621 52.5779174534756 51.723254434493704 50.8902184728125 50.0762427077578 49.2414514426435 48.4596532843871 47.715446048844605 46.9917883263143 46.2933003980814 45.6573642240306 45.0795496472828 44.5602184175111 44.1116978134857 43.7481057517691 43.5775128857445 43.450060748941794 43.383379793383504
Brasil BRA "Población de 80 años en adelante, varones (% de la población masculina)" SP.POP.80UP.MA.5Y 0.4860891006489029 0.5169387490499421 0.541563725527548 0.5582527780039119 0.5657764179671441 0.564240470530014 0.5912697145053929 0.611172792873115 0.6243981110033979 0.631695355847403 0.633701369045542 0.6681337849577521 0.697096172181491 0.7211974226662969 0.7417864567780359 0.7594762084323041 0.812119748774378 0.8608707328732371 0.902859546271561 0.9353814670189871 0.9581890926404041 1.01144438949883 1.05525504694135 1.09273577164345 1.12811227940079 1.16357729312533 1.23918543199997 1.31286079180932 1.3804309883587098
